,date,USD,EUR,KZT,UAH,BYR
0,01/2003,31.7844,33.2719,0.203925,5.9418999999999995,0.0164252
1,02/2003,31.8345,34.429,0.205576,5.94182,0.0162562
2,03/2003,31.5729,33.9409,0.20819400000000002,5.89454,0.015988699999999998
3,04/2003,31.3801,33.9815,0.206202,5.85471,0.0156963
4,05/2003,31.1021,34.5513,0.204875,5.77205,0.015331
5,06/2003,30.709,36.4669,0.204125,5.63882,0.0150078
6,07/2003,30.3809,34.7223,0.205946,5.64921,0.0147152
7,08/2003,30.2791,34.3395,0.20635799999999999,5.64751,0.014570399999999999
8,09/2003,30.5036,33.2001,0.206829,5.67055,0.014517200000000001
9,10/2003,30.6142,35.6043,0.205656,5.6789700000000005,0.0144789
10,11/2003,29.9451,34.7992,0.20292300000000002,5.5546500000000005,0.0140383
11,12/2003,29.7387,35.5021,0.202809,5.51687,0.0138432
12,01/2004,29.4545,37.0979,0.20567,5.474,0.013575100000000001
13,02/2004,28.4937,35.3635,0.204323,5.27896,0.0131915
14,03/2004,28.5156,35.5076,0.20509799999999997,5.2939,0.0132329
15,04/2004,28.5151,34.9082,0.205346,5.2941,0.013260999999999998
16,05/2004,28.9612,34.6289,0.209668,5.40129,0.0134213
17,06/2004,28.9993,35.3907,0.21172000000000002,5.43363,0.013446
18,07/2004,29.0471,35.0889,0.21367899999999998,5.443,0.0134428
19,08/2004,29.1019,35.0532,0.213478,5.455,0.013455199999999999
20,09/2004,29.2591,35.3713,0.21452100000000002,5.47267,0.0135205
21,10/2004,29.2224,36.0312,0.217488,5.43157,0.0134572
22,11/2004,28.7655,36.6472,0.217885,5.34595,0.013208399999999999
23,12/2004,28.1496,37.3264,0.21645199999999998,5.25728,0.0128957
24,01/2005,27.7487,37.8409,0.21343800000000002,5.1233699999999995,0.0127492
25,02/2005,28.1136,36.5899,0.216228,5.28382,0.0129161
26,03/2005,27.7007,36.72,0.212837,5.22822,0.0128099
27,04/2005,27.8548,36.0274,0.21023499999999998,5.32108,0.0129155
28,05/2005,27.7726,36.0072,0.211391,5.46974,0.012898699999999999
29,06/2005,28.1946,34.9134,0.21324,5.5555900000000005,0.0131016
30,07/2005,28.6282,34.6258,0.21209,5.67558,0.013303800000000001
31,08/2005,28.6341,34.716,0.210728,5.6852,0.0133166
32,09/2005,28.5566,34.879,0.211038,5.65612,0.0132644
33,10/2005,28.5348,34.3074,0.213347,5.59429,0.0132558
34,11/2005,28.503,34.3946,0.212574,5.54059,0.0132476
35,12/2005,28.7792,33.9393,0.21463100000000002,5.66375,0.013381800000000001
